waktu,langkah_ke,beban_dudukan,beban_sandaran,keadaan_relay
2023-10-27 15:29:03,0.50,-0.7,-9.3,0
2023-10-27 15:29:03,0.50,-1.0,-9.3,0
2023-10-27 15:29:03,0.50,-0.8,-9.3,0
2023-10-27 15:29:04,0.50,-0.6,-9.3,0
2023-10-27 15:29:04,0.50,-0.9,-9.3,0
2023-10-27 15:29:04,0.50,-0.7,-9.3,0
2023-10-27 15:29:04,0.50,-0.7,-9.3,0
2023-10-27 15:29:04,0.50,-0.5,-9.3,0
2023-10-27 15:29:04,0.50,0.0,-9.3,0
2023-10-27 15:29:04,0.50,-0.1,-9.3,0
2023-10-27 15:29:04,0.50,-0.5,-9.3,0
2023-10-27 15:29:04,0.50,-1.1,-757.4,0
2023-10-27 15:29:04,1.00,-1.0,-9.3,1
2023-10-27 15:29:05,1.00,-0.8,-9.3,1
2023-10-27 15:29:05,1.00,-0.5,-9.3,1
2023-10-27 15:29:05,1.00,-0.5,-9.3,1
2023-10-27 15:29:05,1.00,-0.8,-9.3,1
2023-10-27 15:29:05,1.00,-0.9,-9.3,1
2023-10-27 15:29:05,1.00,-0.5,-9.3,1
2023-10-27 15:29:05,1.00,-1.0,-9.3,1
2023-10-27 15:29:05,1.00,-0.8,-9.3,1
2023-10-27 15:29:05,1.00,-0.2,-9.3,1
2023-10-27 15:29:05,1.00,-0.1,-9.3,1
2023-10-27 15:29:05,1.00,-0.8,-9.3,1
2023-10-27 15:29:06,1.00,-0.6,-9.3,1
2023-10-27 15:29:06,1.50,-0.2,-9.3,0
2023-10-27 15:29:06,1.50,-0.8,-9.3,0
2023-10-27 15:29:06,1.50,-1.3,-9.3,0
2023-10-27 15:29:06,1.50,-1.2,-9.3,0
2023-10-27 15:29:06,1.50,-1.0,-9.3,0
2023-10-27 15:29:06,1.50,-1.4,-9.3,0
2023-10-27 15:29:06,1.50,-1.2,-9.3,0
2023-10-27 15:29:06,1.50,-1.2,-9.3,0
2023-10-27 15:29:06,1.50,-1.3,-9.3,0
2023-10-27 15:29:06,1.50,-1.6,-9.3,0
2023-10-27 15:29:07,1.50,-2.1,-9.3,0
2023-10-27 15:29:07,1.50,-1.5,-9.3,0
2023-10-27 15:29:07,1.50,-1.0,-9.3,0
2023-10-27 15:29:07,2.00,-1.2,-9.3,1
2023-10-27 15:29:07,2.00,-1.6,-9.3,1
2023-10-27 15:29:07,2.00,-1.0,-9.3,1
2023-10-27 15:29:07,2.00,-0.5,-9.3,1
2023-10-27 15:29:07,2.00,-0.3,-9.3,1
2023-10-27 15:29:07,2.00,-0.7,-9.3,1
2023-10-27 15:29:07,2.00,-1.3,-9.3,1
2023-10-27 15:29:07,2.00,-1.6,-9.3,1
2023-10-27 15:29:08,2.00,-1.0,-9.3,1
2023-10-27 15:29:08,2.00,-1.4,-9.3,1
2023-10-27 15:29:08,2.00,-1.4,-9.3,1
2023-10-27 15:29:08,2.00,-0.9,-9.3,1
2023-10-27 15:29:08,2.00,-1.1,-191530.0,1
2023-10-27 15:29:08,2.50,-1.1,-9.3,0
2023-10-27 15:29:08,2.50,-1.1,-6.4,0
2023-10-27 15:29:08,2.50,-1.6,-9.3,0
2023-10-27 15:29:08,2.50,-1.6,-9.3,0
2023-10-27 15:29:08,2.50,-1.6,-9.3,0
2023-10-27 15:29:08,2.50,-2.1,-9.3,0
2023-10-27 15:29:09,2.50,-1.6,-9.3,0
2023-10-27 15:29:09,2.50,-1.0,-9.3,0
2023-10-27 15:29:09,2.50,-0.9,-9.3,0
2023-10-27 15:29:09,2.50,-1.3,-9.3,0
2023-10-27 15:29:09,2.50,-1.1,-9.3,0
2023-10-27 15:29:09,2.50,-1.0,-9.3,0
2023-10-27 15:29:09,2.50,-1.5,-9.3,0
2023-10-27 15:29:09,3.00,-1.6,-9.3,1
2023-10-27 15:29:09,3.00,-1.0,-9.3,1
2023-10-27 15:29:09,3.00,-0.6,-9.3,1
2023-10-27 15:29:10,3.00,-1.1,-9.3,1
2023-10-27 15:29:10,3.00,-0.9,-9.3,1
2023-10-27 15:29:10,3.00,-0.4,-9.3,1
2023-10-27 15:29:10,3.00,-0.9,-9.3,1
2023-10-27 15:29:10,3.00,-1.0,-9.3,1
2023-10-27 15:29:10,3.00,-0.6,-9.3,1
2023-10-27 15:29:10,3.00,-0.4,-9.3,1
2023-10-27 15:29:10,3.00,-0.6,-9.3,1
2023-10-27 15:29:10,3.00,-0.9,-191530.0,1
2023-10-27 15:29:10,3.00,-0.6,-9.3,1
2023-10-27 15:29:10,3.50,-0.2,-9.3,0
2023-10-27 15:29:11,3.50,0.5,-9.3,0
2023-10-27 15:29:11,3.50,1.1,-9.3,0
2023-10-27 15:29:11,3.50,1.7,-9.3,0
2023-10-27 15:29:11,3.50,1.3,-9.3,0
2023-10-27 15:29:11,3.50,0.6,-9.3,0
2023-10-27 15:29:11,3.50,0.3,-9.3,0
2023-10-27 15:29:11,3.50,0.4,-9.3,0
2023-10-27 15:29:11,3.50,0.5,-9.3,0
2023-10-27 15:29:11,3.50,0.5,-9.3,0
2023-10-27 15:29:11,3.50,0.8,-9.3,0
2023-10-27 15:29:11,3.50,0.4,-9.3,0
2023-10-27 15:29:12,3.50,-0.8,-9.3,0
2023-10-27 15:29:12,4.00,-1.0,-9.3,1
2023-10-27 15:29:12,4.00,-0.4,-9.3,1
2023-10-27 15:29:12,4.00,0.4,-9.3,1
2023-10-27 15:29:12,4.00,0.4,-9.3,1
2023-10-27 15:29:12,4.00,-0.5,-9.3,1
2023-10-27 15:29:12,4.00,-1.1,-9.3,1
2023-10-27 15:29:12,4.00,-1.5,-9.3,1
2023-10-27 15:29:12,4.00,-2.3,-9.3,1
2023-10-27 15:29:12,4.00,-2.7,-9.3,1
2023-10-27 15:29:12,4.00,-3.1,-9.3,1
2023-10-27 15:29:13,4.00,-2.9,-9.3,1
2023-10-27 15:29:13,4.00,-3.1,-9.3,1
2023-10-27 15:29:13,4.00,-2.8,-9.3,1
2023-10-27 15:29:13,4.50,-2.4,-9.3,0
2023-10-27 15:29:13,4.50,-2.1,-9.3,0
2023-10-27 15:29:13,4.50,-2.0,-9.3,0
2023-10-27 15:29:13,4.50,0.3,-9.3,0
2023-10-27 15:29:13,4.50,7.4,-9.3,0
2023-10-27 15:29:13,4.50,1.6,-9.3,0
2023-10-27 15:29:13,4.50,-2.0,-9.3,0
2023-10-27 15:29:14,4.50,-2.0,-9.3,0
2023-10-27 15:29:14,4.50,-2.4,-9.3,0
2023-10-27 15:29:14,4.50,-0.0,-9.3,0
2023-10-27 15:29:14,4.50,25.8,-9.3,0
2023-10-27 15:29:14,4.50,41.2,-9.3,0
2023-10-27 15:29:14,4.50,9.9,-9.3,0
2023-10-27 15:29:14,5.00,14.0,5975.7,1
2023-10-27 15:29:14,5.00,78.2,-9.3,1
2023-10-27 15:29:14,5.00,331.7,-9.3,1
2023-10-27 15:29:14,5.00,967.2,-9.3,1
2023-10-27 15:29:14,5.00,1855.1,-9.3,1
2023-10-27 15:29:15,5.00,2593.6,-9.3,1
2023-10-27 15:29:15,5.00,3132.2,-9.3,1
2023-10-27 15:29:15,5.00,3584.8,-9.3,1
2023-10-27 15:29:15,5.00,3882.9,-9.3,1
2023-10-27 15:29:15,5.00,3981.1,-9.3,1
2023-10-27 15:29:15,5.00,3979.5,-9.3,1
2023-10-27 15:29:15,5.00,3863.4,-9.3,1
2023-10-27 15:29:15,5.00,3143.0,-9.3,1
2023-10-27 15:29:15,5.50,1563.5,-9.3,0
2023-10-27 15:29:15,5.50,374.9,-9.3,0
2023-10-27 15:29:15,5.50,13.4,-9.3,0
2023-10-27 15:29:16,5.50,-13.3,-9.3,0
2023-10-27 15:29:16,5.50,-2.4,-9.3,0
2023-10-27 15:29:16,5.50,-2.1,-9.3,0
2023-10-27 15:29:16,5.50,-2.0,-9.3,0
2023-10-27 15:29:16,5.50,-1.7,-9.3,0
2023-10-27 15:29:16,5.50,-2.0,-9.3,0
2023-10-27 15:29:16,5.50,-2.2,-9.3,0
2023-10-27 15:29:16,5.50,-1.7,-9.3,0
2023-10-27 15:29:16,5.50,37.1,-9.3,0
2023-10-27 15:29:16,5.50,253.6,-9.3,0
2023-10-27 15:29:16,6.00,720.5,-9.3,1
2023-10-27 15:29:17,6.00,1508.0,-9.3,1
2023-10-27 15:29:17,6.00,2403.1,-9.3,1
2023-10-27 15:29:17,6.00,3190.3,-9.3,1
2023-10-27 15:29:17,6.00,3788.3,-9.3,1
2023-10-27 15:29:17,6.00,4223.0,-9.3,1
2023-10-27 15:29:17,6.00,4467.8,-9.3,1
2023-10-27 15:29:17,6.00,4548.5,-9.3,1
2023-10-27 15:29:17,6.00,4560.1,-9.3,1
2023-10-27 15:29:17,6.00,4594.6,-9.3,1
2023-10-27 15:29:17,6.00,4682.5,-9.3,1
2023-10-27 15:29:17,6.00,4786.3,-9.3,1
2023-10-27 15:29:18,6.00,4821.2,-9.3,1
2023-10-27 15:29:18,6.50,4602.5,-9.3,0
2023-10-27 15:29:18,6.50,4006.6,-9.3,0
2023-10-27 15:29:18,6.50,3009.9,-9.3,0
2023-10-27 15:29:18,6.50,1857.2,-9.3,0
2023-10-27 15:29:18,6.50,822.0,-9.3,0
2023-10-27 15:29:18,6.50,216.9,-9.3,0
2023-10-27 15:29:18,6.50,9.1,-9.3,0
2023-10-27 15:29:18,6.50,-16.2,-9.3,0
2023-10-27 15:29:18,6.50,-3.0,-9.3,0
2023-10-27 15:29:19,6.50,-1.7,-9.3,0
2023-10-27 15:29:19,6.50,-2.0,-9.3,0
2023-10-27 15:29:19,6.50,-1.6,5975.7,0
2023-10-27 15:29:19,6.50,-1.5,-9.3,0
2023-10-27 15:29:19,7.00,-2.5,-9.3,1
2023-10-27 15:29:19,7.00,-2.4,-9.3,1
2023-10-27 15:29:19,7.00,-1.3,-9.3,1
2023-10-27 15:29:19,7.00,-0.8,-9.3,1
2023-10-27 15:29:19,7.00,-1.2,-9.3,1
2023-10-27 15:29:19,7.00,-1.1,-9.3,1
2023-10-27 15:29:19,7.00,-1.1,-9.3,1
2023-10-27 15:29:20,7.00,-1.3,-9.3,1
2023-10-27 15:29:20,7.00,-1.4,-9.3,1
2023-10-27 15:29:20,7.00,-1.6,-9.3,1
2023-10-27 15:29:20,7.00,-1.8,-9.3,1
2023-10-27 15:29:20,7.00,-1.5,-9.3,1
2023-10-27 15:29:20,7.00,-1.8,-9.3,1
2023-10-27 15:29:20,7.50,-2.0,-9.3,0
2023-10-27 15:29:20,7.50,-2.3,-9.3,0
